days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
179,0,1,178,-5038.558574326768,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5041.097709358265,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5035.012205077371,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5042.407089218084,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.91210500114,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.247155052553,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.798119365376,100.0
189,1,0,188,-5036.897619278371,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5038.627212009404,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5036.5893338624865,100.0
179,0,1,178,-5041.533907474856,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.9328161952,100.0
179,0,1,178,-5019.208509889327,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5036.750959446651,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
180,1,1,178,-5013.322890806173,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
180,1,1,178,-5025.852718270298,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5044.156599147056,100.0
194,0,1,193,-5034.028570762078,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5033.094981230459,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.746266250998,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5033.775582552343,100.0
189,1,0,188,-5035.111566328235,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5035.993972355052,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5034.650030893474,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5041.752104692456,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
194,0,1,193,-5031.066430051177,100.0
188,0,0,188,-5056.962565945582,100.0
180,1,1,178,-5025.1670288952755,100.0
179,0,1,178,-5043.645891634549,100.0
188,0,0,188,-5056.962565945582,100.0
185,0,2,183,-5019.795073268657,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5040.4439026855025,100.0
188,0,0,188,-5056.962565945582,100.0
195,1,1,193,-5013.578232555696,100.0
189,1,0,188,-5039.230671978461,100.0
194,0,1,193,-5042.1294800661435,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5039.718140588221,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.673628322635,100.0
188,0,0,188,-5056.962565945582,100.0
180,1,1,178,-5024.301493844743,100.0
194,0,1,193,-5032.315705305307,100.0
188,0,0,188,-5056.962565945582,100.0
185,0,2,183,-5022.717286285326,100.0
189,1,0,188,-5036.2842735020195,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.205454216388,100.0
